User_ID,Amount,Location,Card_Type,Transaction_Type,Timestamp,IP_Address,Fraud_Label
368,4237.45,Williamsview,Discover,ATM,2025-01-21 12:03:15,172.226.49.250,0
294,2470.32,West Philipton,MasterCard,In-store,2025-01-24 09:54:50,41.36.30.184,0
786,1365.88,Deanborough,Visa,Online,2025-02-28 22:42:38,42.7.63.13,0
177,2320.65,Matthewville,Amex,In-store,2025-01-16 17:44:22,77.37.84.196,0
935,2854.86,New Jonathon,Discover,In-store,2025-01-06 00:42:46,52.9.230.13,0
590,4591.0,Donnaport,Amex,Online,2025-01-22 09:03:25,221.104.215.210,0
888,1743.66,Tommyshire,Visa,ATM,2025-02-06 22:39:15,10.177.73.224,0
701,3679.98,Susanmouth,Discover,Online,2025-02-08 19:51:27,202.8.33.23,0
130,3532.87,West Nicole,Amex,In-store,2025-01-23 09:05:12,102.187.16.172,0
624,1243.62,South Daniel,Visa,ATM,2025-02-05 06:41:41,126.89.31.96,0
955,2638.86,Lake Kimberlyburgh,MasterCard,Online,2025-01-25 17:14:05,187.133.245.35,0
539,4937.36,Haynesmouth,Amex,Online,2025-01-01 01:24:45,40.195.54.190,0
696,4704.44,South Sherihaven,Visa,Mobile Payment,2025-01-14 03:42:38,164.255.253.68,0
770,4842.93,Bryantborough,Visa,ATM,2025-02-16 08:38:38,119.160.102.91,0
556,3917.39,Lake Wendymouth,Discover,ATM,2025-02-19 03:30:21,9.220.180.33,0
393,2327.82,Blankenshiptown,Discover,In-store,2025-02-15 16:39:38,214.10.146.213,0
844,1409.79,Barnesstad,Discover,ATM,2025-01-11 22:53:34,204.207.195.242,0
599,1646.78,Burtontown,Amex,In-store,2025-01-14 14:58:59,105.41.87.156,0
342,2231.01,Khanborough,Amex,Mobile Payment,2025-03-01 13:53:56,203.21.250.123,0
174,9.32,West Kimberg,MasterCard,Online,2025-01-21 14:00:49,87.28.104.131,0
629,4786.24,Fisherview,Visa,Online,2025-02-03 22:45:23,33.54.233.200,0
766,3123.5,Castroview,Amex,In-store,2025-01-15 16:22:34,162.0.105.223,0
565,2906.12,New Amyshire,Amex,ATM,2025-02-04 04:04:29,119.218.81.40,0
389,2248.61,Tiffanyside,Visa,In-store,2025-01-26 08:53:38,218.62.195.72,0
567,4869.9,Shawnmouth,Discover,In-store,2025-01-04 11:16:01,57.175.51.143,0
240,4707.69,Lake Matthewhaven,Discover,Online,2025-01-03 05:08:42,71.37.87.178,0
292,660.15,North Robert,Visa,Mobile Payment,2025-01-06 13:02:03,14.21.195.123,0
534,4797.84,Cannonfort,Visa,Mobile Payment,2025-01-28 22:58:12,126.136.188.84,0
275,2744.72,South Michaelmouth,Discover,Mobile Payment,2025-02-28 17:44:44,84.83.185.58,0
109,1775.12,New Thomas,MasterCard,In-store,2025-01-11 19:27:10,130.86.230.56,0
588,4940.7,Nortonmouth,Discover,In-store,2025-02-09 14:20:51,189.227.230.244,0
228,3968.51,South Ann,Discover,ATM,2025-01-23 08:30:25,39.144.206.236,0
615,927.63,Sherryhaven,Amex,Mobile Payment,2025-01-04 08:50:32,172.21.74.144,0
358,3571.95,West Sarah,Amex,ATM,2025-01-22 06:40:19,8.105.141.168,0
985,581.59,New Krystalfurt,MasterCard,In-store,2025-02-26 20:11:57,65.53.146.20,0
321,697.66,West Nicholasfort,Amex,In-store,2025-02-15 13:52:01,171.151.149.107,0
279,7793.35,Unusual Location,MasterCard,Online,2025-01-23 00:21:23,Suspicious IP,1
720,3883.61,Port Jeffrey,Discover,Mobile Payment,2025-02-13 13:11:59,79.35.246.60,0
235,227.01,South Leroy,Amex,Online,2025-03-01 10:19:48,95.189.234.75,0
821,830.27,Johnsonshire,Visa,Mobile Payment,2025-01-08 18:10:02,188.190.221.57,0
166,317.52,New Benjamin,Discover,In-store,2025-01-10 17:26:33,85.9.174.116,0
926,3813.0,East Christopherside,MasterCard,ATM,2025-01-20 06:48:39,195.30.160.179,0
470,4852.15,Youngmouth,Discover,Online,2025-02-22 03:12:36,67.11.246.147,0
509,4750.97,Johnsonbury,Discover,Online,2025-02-18 13:30:17,194.151.4.227,0
888,4714.26,Catherineport,Visa,ATM,2025-02-26 03:34:02,163.18.190.114,0
747,950.77,Delgadomouth,MasterCard,Mobile Payment,2025-02-19 16:41:47,153.32.195.163,0
248,4640.37,Bennetttown,Amex,ATM,2025-01-14 06:29:05,102.115.202.241,0
798,2882.57,Pearsonstad,Amex,Mobile Payment,2025-01-18 20:37:19,4.206.46.148,0
355,615.58,Lindseystad,Visa,ATM,2025-01-08 20:27:56,31.75.225.193,0
190,4998.04,Parsonshaven,Amex,Online,2025-01-26 16:49:21,108.82.138.10,0
337,3337.93,North Jason,Visa,ATM,2025-01-20 07:54:56,159.163.167.25,0
315,1912.22,Johnport,Discover,ATM,2025-01-20 15:57:59,185.55.185.197,0
173,3919.77,Bentonton,Discover,ATM,2025-02-02 02:34:55,193.224.118.151,0
103,2578.87,Landryhaven,Amex,ATM,2025-01-25 12:19:59,71.200.100.75,0
779,2881.18,Lake Donald,MasterCard,Online,2025-02-21 00:34:34,147.186.36.62,0
410,2092.08,Jamesstad,Amex,In-store,2025-02-23 16:24:16,194.198.13.95,0
386,2116.97,Hernandezville,Visa,Online,2025-01-15 18:06:54,43.143.186.182,0
737,951.57,Leefort,Discover,In-store,2025-02-12 01:41:10,44.160.106.19,0
553,1941.31,West Charleschester,Discover,In-store,2025-01-23 10:06:44,45.212.123.77,0
230,144.57,Matthewmouth,MasterCard,Online,2025-01-19 05:21:05,109.210.122.174,0
751,3002.34,East Rebecca,Discover,Mobile Payment,2025-02-12 10:53:20,51.166.18.27,0
588,2700.83,Ruizburgh,Amex,Mobile Payment,2025-02-18 17:11:11,171.111.60.131,0
377,1708.8,Christymouth,MasterCard,Mobile Payment,2025-02-18 14:44:09,98.151.88.39,0
330,2656.71,South James,Visa,Mobile Payment,2025-01-07 08:24:26,90.161.67.74,0
973,3910.0,Fischertown,Amex,In-store,2025-02-19 11:41:25,196.79.206.221,0
522,10857.22,Unusual Location,Visa,Online,2025-01-07 17:30:00,Suspicious IP,1
584,741.85,North Michelle,Visa,Mobile Payment,2025-02-08 22:29:58,31.26.235.109,0
815,3329.4,Gloriabury,MasterCard,Mobile Payment,2025-02-15 04:45:06,24.251.126.25,0
143,3622.64,Port Ashley,Discover,Mobile Payment,2025-02-18 22:37:14,45.219.25.50,0
